"athlete_id","player_name","team","position","headshot_url"
"5095088","Will McCraw","East Tennessee State","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095088.png"
"5095089","Aaron McIver","Gardner-Webb","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095089.png"
"5095091","Evan Ferguson","Marshall","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095091.png"
"5095093","Chance Reid","Gardner-Webb","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095093.png"
"5095094","Caleb Borders","Gardner-Webb","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095094.png"
"5095095","Hakeem Meggett","East Tennessee State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095095.png"
"5095096","AJ Johnson","UAB","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095096.png"
"5095097","Antonio Chambers","Gardner-Webb","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095097.png"
"5095098","Jai Barnes","East Tennessee State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095098.png"
"5095102","Jimmy Bowdry","East Tennessee State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095102.png"
"5095104","Albert Fleming IV","Fayetteville State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095104.png"
"5095105","Will Mattison","Gardner-Webb","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095105.png"
"5095112","Zach Tanner","Robert Morris","QB","https://a.espncdn.com/i/headshots/college-football/players/full/5095112.png"
"5095114","Nate Garnett","Austin Peay","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095114.png"
"5095115","Robert Dickerson","Robert Morris","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5095115.png"
"5095116","Jam Jackson","Virginia","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5095116.png"
"5095119","Tahseen Howard","Robert Morris","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5095119.png"
"5095121","Mitchell Robinson Jr.","Robert Morris","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095121.png"
"5095125","Trey Woods","Robert Morris","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095125.png"
"5095128","Yann Lekomo","Robert Morris","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095128.png"
"5095129","Aidan Stair","Robert Morris","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095129.png"
"5095130","Malcolm Bennett","Robert Morris","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095130.png"
"5095131","Mack Flynn","Robert Morris","P","https://a.espncdn.com/i/headshots/college-football/players/full/5095131.png"
"5095134","Mofe Adewole","Robert Morris","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095134.png"
