"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"14","James Clark","James Clark","https://www.prepbaseballreport.com/profiles/CA/James-Clark-3201879546","CA","SS","St. John Bosco HS (CA)","CA","+ The steady climb and sleeper status of SS James Clark (St. John Bosco HS, CA) can no longer be hidden as the ultra-talented, 6-foot-1, 195-pound shortstop continues to leave no doubt as to his status as a premier position player in the class. A consummate performer whose swing decisions and pitch recognition from the left side stand out as advanced, he is sure-handed, and the helium that has risen since last June still carries a path to a top-10 selection in July.","St. John Bosco (HS) / CA","6' 1""","195","2026","7.46","84.0","64.9","77","","","20.8","(2/25/26) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 8mo","L","R","Stacked","","","","","","","",""
"15","Vahn Lackey","Vahn Lackey","https://www.prepbaseballreport.com/profiles/GA/Vahn-Lackey-7650189432-3742891605","GA","C","Georgia Tech","","","Collins Hill (HS) / GA","6' 2""","205","2023","","","","","","","","","","","","","","","","","","","",""
"16","Sawyer Strosnider","Sawyer Strosnider","https://www.prepbaseballreport.com/profiles/TX/Sawyer-Strosnider-8541920367","TX","OF","TCU","","","TCU","6' 2""","185","2024","6.58","102.8","86.4","95","95","","24.3","TCU (6/01/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 10mo","L","L","Dallas Tigers Bergman","93","79.8-81.5","77.1 - 78.2","82.8","2176","","",""
"17","Drew Burress","Drew Burress","https://www.prepbaseballreport.com/profiles/GA/Drew-Burress-9401387652-3278149065","GA","OF","Georgia Tech","","","Houston County (HS) / GA","5' 9""","190","2023","","101","79.0","7","99","","24.7","(6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","5 Star National","","","","","","","",""
"18","AJ Gracia","AJ Gracia","https://www.prepbaseballreport.com/profiles/NJ/AJ-Gracia-2897561430","NJ","OF","Virginia","","","Ranney School (HS) / NJ","6' 3""","205","2023","7.56","77","","83","83","","","(6/02/25) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 6mo","L","L","Tri State Arsenal National","83","68 - 71","","72 - 73","","","",""
"19","Cole Koeninger","Cole Koeninger","https://www.prepbaseballreport.com/profiles/TX/Cole-Koeninger-6370541298","TX","RHP/SS","Keller HS (TX)","TX","+ RHP Coleman Borthwick (South Walton HS, FL) has separated himself as the premier right-hander in the class thanks to explosive stuff, incessant strike-throwing ability, and of course, his massive 6-foot-6, 245-pound frame. Both RHP Cole Koeninger (Keller HS, TX) and RHP Kaden Waechter (Jesuit HS, FL) also hold intrinsic top end value and should see a steady rise throughout the spring. But there are only so many picks in the first round, and with this year?s crop of prep right-handers, clubs further down the board are likely to be salivating over the talent pool. The separation from ranks Nos. 4 through 40 amongst the group does not feel all that significant, and even if a large number sign contracts in July, it feels almost a certainty that college baseball will be receiving an influx of elite arms next year.","Keller (HS) / TX","6' 2""","214.3","2026","6.50","103.7","81.1","92","","","24.0","Tennessee (11/01/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 9mo","R","R","Stix 2026 Scout","98","81.6-82.5","79.8 - 81.3","82.9-85.4","2361","","",""
"20","Cameron Flukey","Cameron Flukey","https://www.prepbaseballreport.com/profiles/NJ/Cameron-Flukey-5310269748-7841352609","NJ","RHP","Coastal Carolina","","","Coastal Carolina","6' 5""","210","2023","","","","","","","","","","","","","97","","78-79","","","","",""
"21","Beau Peterson","Beau Peterson","https://www.prepbaseballreport.com/profiles/KS/Beau-Peterson-6092148753-6803591274","KS","3B","Mill Valley HS (KS)","KS","","Mill Valley (HS) / KS","6' 2""","206","2026","6.71","107.8","85.0","96","2","","24.6","Texas (10/07/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 9mo","L","R","Canes National","94.4","77-79","80-84","83-85","2517","","",""
"22","Jared Grindlinger","Jared Grindlinger","https://www.prepbaseballreport.com/profiles/CA/Jared-Grindlinger","CA","LHP","Huntington Beach HS (CA)","CA","+ The biggest news of the early spring season came when the No. 1-ranked player in the 2027 class, LHP Jared Grindlinger (Huntington Beach HS, CA), announced that he would be jumping up a class and entering his name into the MLB Draft. The 6-foot-3, 180-pound Prep Baseball All-American boosts an already star-studded crop of southpaws that could potentially see, now, five selected in the first round. Featuring a mid-90s fastball and sharp feel for quality secondary stuff, Grindlinger brings an exciting upside on the mound that is amplified by his athleticism as a position player. Still uncommitted, college wise, the industry will get plenty of looks at the talented left-hander the rest of the spring as his Huntington Beach team will play in a plethora of primetime games.","Huntington Beach (HS) / CA","6' 3""","180","2026","","101.5","75.2","72","72","","24.0","Tennessee (4/03/26) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","17yr 1mo","L","L","TEAM ELITE Scout","95","","82-85","82-85","","202","",""
"23","Blake Bowen","Blake Bowen","https://www.prepbaseballreport.com/profiles/CA/Blake-Bowen-7984256031","CA","OF","JSerra Catholic HS (CA)","CA","+ OF Eric Booth Jr. (Oak Grove HS, MS) was a sleeper first-rounder coming out of the summer, but has asserted himself as a must-have talent for MLB clubs thanks to an enticing upside of athleticism that pairs well next to a polished hitting approach. The plus-runner who routinely barrels triple-digit exit velocities, Booth is a sneaky top-10 pick whose continued spring success will only serve to mitigate risk. His chief competition as the top high school outfielder stands to be OF Blake Bowen (JSerra Catholic HS, CA) who has only gotten better with each look. Always an athletic outlier with impressive impact and acceleration at 6-foot-2, 215-pounds, his ability to polish the hit-tool, especially with contact rates, is what has boosted his stock into strong first round potential.","JSerra Catholic (HS) / CA","6' 2""","216","2026","6.40","107.4","89.6","95","95","","26.4","(5/22/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","17yr 5mo","R","R","Canes West","","","","","","202","",""
