"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"54","Daniel Cuvet","Daniel Cuvet","https://www.prepbaseballreport.com/profiles/FL/Daniel-Cuvet-1092673548-6057138429","FL","3B","Miami","","","ESB Academy (HS) / FL","6' 4""","220","2023","","105.6","","","","","","","","","","","","","","","","","",""
"55","Alex Hernandez","Alex Hernandez","https://www.prepbaseballreport.com/profiles/MA/alex-hernandez","MA","OF","Georgia Tech","","","Boston College (HS) / MA","6' 3""","215","2026","6.89","95.6","79.0","78","78","","23.7","Roger Williams (10/04/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 1mo","R","R","US 9 Prospects","","","","","","","",""
"56","Eric Becker","Eric Becker","https://www.prepbaseballreport.com/profiles/NJ/Eric-Becker-8534097126","NJ","SS","Virginia","","","Don Bosco Prep (HS) / NJ","6' 2""","185","2023","7.21","84","","76","","","","(11/14/20) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Northeast Supreme","","","","","","202","",""
"57","Rookie Shepard","Rookie Shepard","https://www.prepbaseballreport.com/profiles/NV/Rookie-Shepard-0239458716","NV","SS","Faith Lutheran HS (NV)","NV","","Faith Lutheran (HS) / NV","6' 1""","191.4","2026","6.58","101.3","70.6","88","80","4","22.6","(8/13/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 5mo","L","R","MLB Breakthrough","","","","","","4","",""
"58","Cole Carlon","Cole Carlon","https://www.prepbaseballreport.com/profiles/AZ/Cole-Carlon-8065394217","AZ","LHP","Arizona State","","","Arizona State","6' 5""","230","2023","","","","6","","","","Arizona State (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Canyon Thunder 2023","87","","63 - 65","71-75","2510","","",""
"59","Noah Wilson","Noah Wilson","https://www.prepbaseballreport.com/profiles/TN/Noah-Wilson-6517904823","TN","OF","McCallie HS (TN)","TN","","McCallie (HS) / TN","5' 11""","196.2","2026","6.44","105","81.3","84","84","","23.5","Vanderbilt (10/31/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 11mo","L","R","San Diego Padres Scout Team","77","59-66","","","","","",""
"60","James Tronstein","James Tronstein","https://www.prepbaseballreport.com/profiles/CA/James-Tronstein-3809157624","CA","OF","Harvard-Westlake HS (CA)","CA","","Harvard-Westlake (HS) / CA","5' 11""","175","2026","6.61","107","81.7","84","93","","25.0","Vanderbilt (10/15/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 2mo","R","R","Legacy Baseball Group Black","82","66 - 67","","","","","",""
"61","Anthony Murphy","Anthony Murphy","https://www.prepbaseballreport.com/profiles/CA/Anthony--Murphy-8013972645","CA","OF","Corona HS (CA)","CA","","Corona (HS) / CA","6' 0""","183","2026","6.68","101.0","72.8","94","94","","23.4","(11/13/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 1mo","R","R","MLB Breakthrough","91","58.2 - 61.1","76 - 78","65 - 68","","","",""
"62","Cooper Harris","Cooper Harris","https://www.prepbaseballreport.com/profiles/TX/cooper-harris1","TX","RHP","Flower Mound HS (TX)","TX","+ RHP Cooper Harris (Flower Mound HS, TX) + RHP Savion Sims (Prestonwood Christian HS, TX) + LHP Lucas Nawrocki (Aledo HS, TX) + RHP James Jorgensen (Jesuit HS, TX)","Flower Mound (HS) / TX","6' 2""","205.5","2026","","","","","","","","Texas (9/14/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos Swift Vizual Edge News Contact Best Of Stats Fastball 92.2 Velocity (max) 7/24/24 88.4 - 91.2 Velo Range 7/24/24 2341 Spin Rate (avg) 7/24/24 Curveball 75 - 77 Velo Range 7/25/24 2620 Spin Rate (avg) 7/24/24 Future Games Jul 23, 2026 Future Games (Class of 2026/27) Jul 24, 2024","17yr 11mo","R","R","Texas Elite","93","75-77","","","2448","","",""
"63","Taj Marchand","Taj Marchand","https://www.prepbaseballreport.com/profiles/SC/Taj-Marchand-2645817903","SC","SS","James Island HS (SC)","SC","","James Island (HS) / SC","6' 2""","200","2026","7.03","107.9","79.1","93","","","24.2","Mississippi (9/18/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","17yr 9mo","R","R","Aces National/Usa Prime","92","69-73","76-80","80-83","2652","","",""
"64","Dominic Santarelli","Dominic Santarelli","https://www.prepbaseballreport.com/profiles/WI/Dominic-Santarelli-0132768945","WI","1B/OF","St. Joseph HS (WI)","WI","","St Joseph Catholic (HS) / WI","6' 1""","224","2026","6.70","110.1","83.1","84","88","","27.4","(11/13/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 6mo","L","L","Hitters","78","64 - 65","","","","","",""
"65","Trey Ebel","Trey Ebel","https://www.prepbaseballreport.com/profiles/CA/Trey-Ebel-8320679145-5316204798","CA","SS","Corona HS (CA)","CA","","Corona (HS) / CA","6' 0""","185","2026","","","","","","","","Texas A&M (11/01/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Comments Contact Best Of Stats","17yr 7mo","R","R","ZT Cali","","","","","","","",""
"66","Connor Comeau","Connor Comeau","https://www.prepbaseballreport.com/profiles/TX/Connor-Comeau-3845762910","TX","SS","Anderson HS (TX)","TX","","Anderson (HS) / TX","6' 3""","160","2026","7.20","95.6","81.6","87","","","23.0","Texas A&M (12/04/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","17yr 9mo","L","R","Canes Futures Scout 2026","87","73 - 75.2","73.4 - 76.1","80 - 82","","","",""
"67","Ethan Bass","Ethan Bass","https://www.prepbaseballreport.com/profiles/IL/Ethan-Bass-2304615897","IL","SS","Glenbrook North HS (IL)","IL","","Glenbrook North (HS) / IL","6' 1""","185","2026","6.87","101.3","81.2","90","","","28.4","Wake Forest (11/15/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 7mo","R","R","Top Tier Select","90","72-74","75-76","66.4-68.0","2596","","",""
"68","Rocco Maniscalco","Rocco Maniscalco","https://www.prepbaseballreport.com/profiles/AL/Rocco-Maniscalco-2089536147","AL","SS","Oxford HS (AL)","AL","","Oxford (HS) / AL","6' 2""","190","2026","6.70","100.4","75.4","92","79","79","25.8","(10/27/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","","","","Excel Blue Wave","","","","","","100.4","",""
"69","Kevin Roberts Jr.","","","","OF","Jackson Prep HS (MS)","MS","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"70","Jake Carbaugh","Jake Carbaugh","https://www.prepbaseballreport.com/profiles/FL/JAKE-CARBAUGH-4795621830","FL","RHP","Plant City HS (FL)","FL","","Plant City (HS) / FL","6' 5""","215","2026","","","","","","","","","17yr 11mo","R","R","FBH Angels","96","77-80","81-85","85-88","2428","","",""
"71","Savion Sims","Savion Sims","https://www.prepbaseballreport.com/profiles/OK/Savion-Sims-9054836271-5723108496","OK","RHP","Prestonwood Christian HS (TX)","TX","+ RHP Cooper Harris (Flower Mound HS, TX) + RHP Savion Sims (Prestonwood Christian HS, TX) + LHP Lucas Nawrocki (Aledo HS, TX) + RHP James Jorgensen (Jesuit HS, TX)","Prestonwood Christian Academy (HS) / TX","6' 8""","205","2026","","","","","","","","Oklahoma (8/14/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Pitching Velos News Contact Best Of Stats Fastball 99 Velocity (max) 3/01/25 95 - 97 Velo Range 3/01/25 - Spin Rate (avg) Slider 86 - 87 Velo Range 3/01/25 - Spin Rate (avg) 2025 OSSAA Season Mar 1, 2025","18yr 11mo","R","R","","99","","86-87","","","","",""
"72","Hunter Dietz","Hunter Dietz","https://www.prepbaseballreport.com/profiles/FL/Hunter-Dietz-1754920386-3569782410","FL","LHP","Arkansas","","","Arkansas","6' 6""","235","2023","","","","","","","","Arkansas (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitch Scores Pitching Velos News Comments Contact Best Of Stats Fastball 93 Velocity (max) 6/10/22 90 - 93 Velo Range 6/10/22 2176 Spin Rate (avg) 10/16/21 Changeup 83 - 83.2 Velo Range 10/16/21 1935 Spin Rate (avg) 10/31/20 Curveball 76 - 79 Velo Range 4/06/22 2160 Spin Rate (avg) 10/31/20 Slider 76 - 81.5 Velo Range 10/16/21 2064 Spin Rate (avg) 10/16/21 NPI Jun 10, 2022 High School Apr 6, 2022 2021 Junior State Games Oct 16, 2021 Sophomore State Games Oct 31, 2020","21yr 2mo","R","R","Top Tier","93","76-79","76 - 81.5","83.0-83.2","2307","","",""
"73","Wes Mendes","Wes Mendes","https://www.prepbaseballreport.com/profiles/FL/Welsey-Mendes-0549673812","FL","LHP","Florida State","","","Mississippi","6' 1""","185","2023","6.67","98.4","80.6","91","91","","22.7","Mississippi (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 7mo","R","L","Top Tier Americans 2023","92","75-76","78-80","83-84","2492","","",""
"74","Tyson Grulkowski","Tyson Grulkowski","https://www.prepbaseballreport.com/profiles/WI/Tyson-Grulkowski-0291576834","WI","RHP","Muskego HS (WI)","WI","","Muskego (HS) / WI","6' 5""","234","2026","","","","2","","","","(5/23/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 9mo","R","R","GRB - Stiks","94","77-78","81 - 82.3","85-86","2679","","",""
"75","John Stowers","John Stowers","https://www.prepbaseballreport.com/profiles/AL/John-Stowers-0952684137","AL","C","St. Paul's Episcopal HS (AL)","AL","","St. Paul's Episcopal (HS) / AL","5' 11""","204.6","2026","7.12","107.0","81.3","","81","81","25.9","(5/26/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","","","","Aces - National","88","71 - 72","","68 - 70","","81","",""
"76","Lucas Moore","Lucas Moore","https://www.prepbaseballreport.com/profiles/OH/Lucas--Moore-0315894672","OH","OF","Louisville","","","Louisville","6' 1""","170","2023","6.52","91","68.2","83","83","","18.8","Louisville (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","","","","Indiana Bulls","65","","","","","","",""
"77","Gavin Grahovac","Gavin Grahovac","https://www.prepbaseballreport.com/profiles/CA/Gavin-Grahovac-0398216457","CA","1B","Texas A&M","","","Texas A&M","6' 2""","200","2023","","","","","","","","Texas A&M (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Comments Twitter Contact Best Of Stats","21yr 4mo","R","R","TB Socal","","","","","","","",""
"78","Caden Bogenpohl","Caden Bogenpohl","https://www.prepbaseballreport.com/profiles/MO/Caden-Bogenpohl-8319475620","MO","OF","Missouri State","","","Missouri State","6' 6""","230","2023","6.87","108.7","78.7","2","97","","23.7","Missouri State (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 1mo","L","R","Adidas Athletics","95.4","69-71","78.1 - 82.8","83.1-85.2","2331","","",""
"79","Ty Head","Ty Head","https://www.prepbaseballreport.com/profiles/FL/Tyler-Head-1068342759","FL","OF","NC State","","","North Carolina State","6' 3""","205","2024","","","","","","","","North Carolina State (6/01/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Comments Contact Best Of Stats","20yr 11mo","L","L","Power Baseball Marucci 2024","","","","","","","",""
"80","Chase Brunson","Chase Brunson","https://www.prepbaseballreport.com/profiles/CA/Chase-Brunson","CA","OF","TCU","","","TCU","6' 3""","205","2023","","","","","","","","","","","","","","","","","","","",""
"81","Ryan Lynch","Ryan Lynch","https://www.prepbaseballreport.com/profiles/WA/Ryan-Lynch-4832659017-3254708619","WA","RHP","North Carolina","","","Bellevue (WA)","6' 3""","175","2021","","","","","","","","","","","","","","","","","","","",""
"82","Keon Johnson","Keon Johnson","https://www.prepbaseballreport.com/profiles/GA/Keon-Johnson-6910485723","GA","SS","First Presbyterian HS (GA)","GA","","First Presbyterian Day (HS) / GA","6' 1""","188.1","2026","6.85","97.8","76.1","91","","","23.8","Vanderbilt (11/13/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 2mo","R","R","Wow Factor National","88.8","66 - 69","","76 - 78","","","",""
"83","Malachi Washington","Malachi Washington","https://www.prepbaseballreport.com/profiles/GA/Malachi-Washington-0465371982","GA","OF","Parkview HS (GA)","GA","","Parkview (HS) / GA","6' 0""","193.3","2026","6.63","97.2","83.3","93","93","","24.5","(1/01/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","17yr 11mo","R","R","Wow Factor National 16u","","","","","","","",""
"84","Ryan Harwood","Ryan Harwood","https://www.prepbaseballreport.com/profiles/AZ/Ryan-Harwood-1475623908","AZ","OF","Casteel HS (AZ)","AZ","","Casteel (HS) / AZ","6' 2""","218","2026","6.69","104.1","87.6","2","94","","26.5","Texas A&M (9/14/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 10mo","L","R","East Coast Sox 2026 National","91","75-77","","64-66","","","",""
"85","Gannon Grant","Gannon Grant","https://www.prepbaseballreport.com/profiles/IN/Gannon--Grant-3251604798","IN","RHP","Center Grove HS (IN)","IN","","Center Grove (HS) / IN","6' 2""","195","2026","6.86","99.7","73.9","89","","","24.2","Tennessee (9/23/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","19yr 2mo","R","R","Indiana Bulls Black","97.8","74-77","83.3 - 85.1","86.4-86.7","2605","","",""
"86","Jerek Turlij","Jerek Turlij","https://www.prepbaseballreport.com/profiles/PA/Jerek-Turlij-3829640751","PA","RHP","North East HS (PA)","PA","","North East (HS) / PA","6' 1""","181.7","2026","","","","6","","","","(8/02/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 4mo","R","R","Erie Steelheads","94","75-80","76-79","85-85","2316","202","",""
"87","Grayson Willoughby","Grayson Willoughby","https://www.prepbaseballreport.com/profiles/KY/Grayson-Willoughby-0318645297","KY","RHP","Trinity HS (KY)","KY","","Trinity (HS) / KY","6' 2""","195","2026","6.99","97.8","70.4","93","","","21.6","Kentucky (8/23/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","","","","CBC Marucci 17u National Blackhawks","97","77-79","78-81","82-85","2451","","",""
"88","Easton Autrey","Easton Autrey","https://www.prepbaseballreport.com/profiles/TX/Easton-Autrey-1708362945","TX","3B","Corsicana HS (TX)","TX","","Corsicana (HS) / TX","6' 4""","225","2026","7.32","103.6","88.9","89","","","23.6","Texas (9/20/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 7mo","L","R","BPA","","","","","","","",""
"89","Lucas Nawrocki","Lucas Nawrocki","https://www.prepbaseballreport.com/profiles/TX/Lucas-Nawrocki-1387962045","TX","OF","Aledo HS (OF)","OF","+ RHP Cooper Harris (Flower Mound HS, TX) + RHP Savion Sims (Prestonwood Christian HS, TX) + LHP Lucas Nawrocki (Aledo HS, TX) + RHP James Jorgensen (Jesuit HS, TX)","Aledo (HS) / TX","5' 10""","183.6","2026","7.22","101.2","81.3","91","91","","24.1","(10/12/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 5mo","L","L","Stix Scout 2026","92.1","79-79","73 - 76.3","87-87","2946","","",""
"90","Steven Miliam","","","","MIF","LSU","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"91","James Jorgensen","James Jorgensen","https://www.prepbaseballreport.com/profiles/TX/James-Jorgensen-6820794531","TX","RHP","Jesuit Prep HS (TX)","TX","+ RHP Cooper Harris (Flower Mound HS, TX) + RHP Savion Sims (Prestonwood Christian HS, TX) + LHP Lucas Nawrocki (Aledo HS, TX) + RHP James Jorgensen (Jesuit HS, TX)","Jesuit College Prep (HS) / TX","6' 0""","185","2026","6.91","97.2","71.7","6","93","","22.4","Texas (9/23/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 8mo","R","R","Dulins Dodgers","89","71-73","","79-81","2322","","",""
"92","Anthony Del Angel","Anthony Del Angel","https://www.prepbaseballreport.com/profiles/NM/Anthony--Del-Angel--0852794631","NM","3B","Cleveland HS (NM)","NM","","Cleveland (HS) / NM","","","2026","6.55","106.4","81.0","83","95","","25.6","Oklahoma (8/15/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 8mo","R","R","Dulins Dodgers 14u Godwin","","","","","","","",""
"93","Denton Lord","Denton Lord","https://www.prepbaseballreport.com/profiles/FL/Denton-Lord-8615427390-7108652493","FL","RHP","South Walton HS (FL)","FL","","South Walton (HS) / FL","6' 8""","220","2026","","","","","","","","","18yr 5mo","R","R","Aces National","97","76-79","79-81","87-88","2258","","",""
"94","Gary Morse","Gary Morse","https://www.prepbaseballreport.com/profiles/CA/Gary-Morse-8259043617-8315427690","CA","RHP","Orange Lutheran HS (CA)","CA","","Orange Lutheran (HS) / CA","","","2026","","","","6","6","","","Tennessee (1/22/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 10mo","R","R","ZT National Prospects","96.1","78.9-79.5","82-84","83.7-86.1","2438","2","",""
"95","Logan Georges","Logan Georges","https://www.prepbaseballreport.com/profiles/CA/Logan-Georges-2456781390-1345872960","CA","RHP","Clovis HS (CA)","CA","","Clovis (HS) / CA","6' 5""","210","2026","","","","","","","","TCU (6/06/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos News Comments Contact Best Of Stats Fastball 93.5 Velocity (max) 5/31/25 90.7 - 93.3 Velo Range 5/31/25 2595 Spin Rate (avg) 5/31/25 Changeup 83.1 - 83.2 Velo Range 5/31/25 1690 Spin Rate (avg) 5/31/25 Slider 78 - 80 Velo Range 5/31/25 2502 Spin Rate (avg) 5/31/25 2026 CA High School Heat Sheet Feb 24, 2026 2025 ProCase - NorCal May 31, 2025 ACG Underclass Tryout (NorCal) Jun 13, 2023 4.5.23 Apr 5, 2023","18yr 11mo","R","R","Tri-County","95","","82-84","83.1-83.2","2611","","",""
"96","Cooper Sides","Cooper Sides","https://www.prepbaseballreport.com/profiles/CA/Cooper-Sides-2510498367-1352079468","CA","RHP","Orangle Lutheran HS (CA)","CA","","Orange Lutheran (HS) / CA","6' 5""","180","2026","8.40","","","78","","","","(11/26/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 6mo","R","R","Alpha Power","86.3","64-67","72.3 - 74.8","74-75","2029","","",""
"97","Dominic Battista","Dominic Battista","https://www.prepbaseballreport.com/profiles/IL/Dominic--Battista-7152098436","IL","OF","Oswego East HS (IL)","IL","","Oswego East (HS) / IL","6' 1""","186.5","2026","6.53","108.5","81.0","81","94","","23.7","(11/24/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 6mo","L","R","Rhino Baseball","72.4","61 - 62.4","64.2 - 66.4","68.4 - 71.4","","","",""
"98","Tre Phelps","Tre Phelps","https://www.prepbaseballreport.com/profiles/GA/Edward--Phelps-III-3076241958","GA","3B","Georgia","","","Georgia Premier (HS) / GA","6' 3""","210","2023","6.80","101.1","84.2","6","","","25.0","","21yr 11mo","R","R","GBSA RAYS","","","","","","202","",""
"99","Mason Edwards","Mason Edwards","https://www.prepbaseballreport.com/profiles/CA/Mason--Edwards-6748150239-8476302195","CA","LHP","USC","","","USC","6' 2""","195","2023","","","","","","","","","","","","","","","","","","","",""
"100","Ethan Kleinschmidt","","","","LHP","Oregon State","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"101","Logan Reddemann","Logan Reddemann","https://www.prepbaseballreport.com/profiles/CA/Logan-Reddemann-6831042957","CA","RHP","UCLA","","","UCLA","6' 2""","200","2023","","","","","","","","","21yr 1mo","R","R","So Cal Bombers","","","","","","","",""
"102","Brett Renfrow","Brett Renfrow","https://www.prepbaseballreport.com/profiles/VA/Brett-Renfrow-6945713028","VA","RHP","Virginia Tech","","","Colgan (HS) / VA","6' 3""","220","2023","","","","87","8","","","(6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 4mo","R","R","Stars 17U Carroll","94","74.4-77.5","78-82","81-85","2304","","",""
"103","Brendan Brock","Brendan Brock","https://www.prepbaseballreport.com/profiles/IL/Brendan--Brock--9613475802","IL","C","Oklahoma","","","Oklahoma","6' 3""","200","2022","6.19","95.3","72.3","","80","80","24.7","","21yr 9mo","R","R","St. Louis Naturals","","","","","","80","",""
"104","Carson Tinney","Carson Tinney","https://www.prepbaseballreport.com/profiles/CO/Carson-Tinney-1847239650","CO","C","Texas","","","Texas","6' 3""","235","2023","7.61","93","79.9","4","6","75","22.1","Texas (6/01/25) Notre Dame (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 1mo","R","R","Slammers Duman","87","69 - 72","","","","75","","90"
"105","Luke McNellie","","","","RHP","Florida","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"106","Max Bayles","Max Bayles","https://www.prepbaseballreport.com/profiles/CA/Max-Bayles","CA","RHP","Santa Clara","","","Santa Clara","6' 2""","210","2023","","","","","","","","","21yr 6mo","R","R","","","","","","","","",""
"107","Jake Brown","Jake Brown","https://www.prepbaseballreport.com/profiles/KS/Jake-Brown-0528713964","KS","OF","LSU","","","Mill Valley (HS) / KS","6' 5""","185","2026","7.39","82.9","66.8","79","","","22.8","request. Login Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 9mo","R","R","Prime 27:17","81","69-72","64.4 - 65.2","66.0-68.3","2201","","",""
"108","Camden Johnson","Camden Johnson","https://www.prepbaseballreport.com/profiles/GA/Camden-Johnson-9847103562","GA","INF","Oklahoma","","","North Gwinnett (HS) / GA","5' 10""","199","2031","","","","","","","","","13yr 10mo","L","R","KC Roos National","","","","","","","",""
"109","Myles Bailey","Myles Bailey","https://www.prepbaseballreport.com/profiles/FL/Myles-Bailey-1478690523","FL","1B","Florida State","","","Florida State","6' 4""","225","2024","7.14","101.4","82.4","85","","","22.7","","20yr 10mo","L","R","Five Star National Black","","","","","","","",""
"110","Ethan Mendoza","Ethan Mendoza","https://www.prepbaseballreport.com/profiles/TX/Ethan--Mendoza-3641508972","TX","2B","Texas","","","Texas","5' 11""","175","2023","7.07","99.2","76.0","88","7","","23.3","Texas (6/05/24) Arizona State (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 9mo","R","R","Texas Stix 2023 - Scout Team","","","","","","","",""
"111","Isaiah Galason","Isaiah Galason","https://www.prepbaseballreport.com/profiles/GA/Isaiah-Galason-3897640215","GA","SS","Houston County HS (GA)","GA","","Houston County (HS) / GA","5' 10""","177.3","2026","6.53","102.0","77.3","91","","","22.3","(6/09/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 1mo","R","R","Five Star National 17u","92","68-71","69.2 - 69.4","75-77","2370","","",""
"112","Jacob Dudan","Jacob Dudan","https://www.prepbaseballreport.com/profiles/NC/Jacob-Dudan-6139270845","NC","RHP","NC State","","","North Carolina State","6' 3""","185","2023","","","","","","","","North Carolina State (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot TrackMan Pitching Pitching Velos News Comments Contact Best Of Stats Fastball 90 Velocity (max) 1/02/22 87 - 88 Velo Range 1/02/22 1964 Spin Rate (avg) 3/27/21 Changeup 81 - 82 Velo Range 1/02/22 1638 Spin Rate (avg) 3/27/21 Curveball 75 - 79 Velo Range 1/02/22 2304 Spin Rate (avg) 3/27/21 2022 NC High School Heat Sheet Jan 2, 2022 March 27 Prospect I.D. Mar 27, 2021 Future Games I.D. Mar 27, 2021 LakePoint Fall Invite Sep 18, 2020","21yr 4mo","L","R","SBA Scout Team 2023","90","75-79","","81-82","2048","","",""
"113","Cade Townsend","Cade Townsend","https://www.prepbaseballreport.com/profiles/CA/Cade--Townsend-7408369152-6907382541","CA","RHP","Ole Miss","","","Mississippi","6' 1""","185","2024","","","","","","","","","","","","","","","","","","","",""
"114","LJ Mercurius","","","","RHP","Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"115","Tommy LaPour","Tommy Lapour","https://www.prepbaseballreport.com/profiles/MO/Tommy-Lapour-3508692741","MO","RHP","TCU","","","TCU","6' 3""","225","2023","","94","72.8","92","92","","23.1","TCU (6/01/24) Wichita State (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 1mo","R","R","KC Royals Scout Team 17u","95","76-78","","79.5-81.6","2124","","",""
"116","Collin Bland","Collin Bland","https://www.prepbaseballreport.com/profiles/TN/Collin-Bland-5836094721","TN","1B","Houston HS (TN)","TN","","Houston (HS) / TN","6' 2""","250","2026","7.04","111.2","80.5","76","80","","22.9","Vanderbilt (11/07/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 7mo","L","R","eXposure National 17U","73","","","","","","",""
"117","Julian Garcia","Julian Garcia","https://www.prepbaseballreport.com/profiles/CA/Julian-Garcia","CA","RHP","St. John Bosco HS (CA)","CA","","St. John Bosco (HS) / CA","6' 3""","180","2026","","","","","","","","","","","","","95","75-76","","85-86","","","",""
"118","Alain G?mez Gudino","Alain G?mez Gudino","https://www.prepbaseballreport.com/profiles/AZ/alain-gomez-gudino","AZ","C","Saguaro HS (AZ)","AZ","","Saguaro (HS) / AZ","6' 0""","220","2026","7.21","102.1","86.6","86","80","80","23.7","South Carolina (11/10/24) South Carolina (11/05/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 9mo","S","R","Saguaro","","","","","","80","",""
"119","Roman Martin","","","","3B","UCLA","","","","","","","","","","","","","","","","","","","","","","","","","No profile URL resolved.",""
"120","Maddox Molony","Maddox Molony","https://www.prepbaseballreport.com/profiles/OR/Maddox-Molony-3467580192","OR","SS","Oregon","","","Oregon","6' 2""","205","2023","7.65","88.4","71.3","77","","","20.7","Oregon (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 7mo","R","R","Gunderson baseball","82","66 - 68","","68.6 - 70.5","","","",""
"121","Kyle Jones","Kyle Jones","https://www.prepbaseballreport.com/profiles/OH/kyle-jones","OH","OF","Florida","","","Talawanda (HS) / OH","5' 8""","155","2026","7.79","84.9","64.0","75","","","21.5","request. Login Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","17yr 7mo","R","R","Storm Club","","","","","","202","",""
